seed,mean_return,path
20000,194723.407866742,Results/car-train_20000_4000000_all_actions
23000,128011.28726044668,Results/car-train_23000_4000000_all_actions
10000,75103.15038442626,Results/car-train_10000_4000000_all_actions
4000,61577.258064285066,Results/car-train_4000_4000000_all_actions
29000,55271.38876053449,Results/car-train_29000_4000000_all_actions
14000,48990.326884913025,Results/car-train_14000_4000000_all_actions
27000,-17270.011020500377,Results/car-train_27000_4000000_all_actions
1000,-29239.10676269769,Results/car-train_1000_4000000_all_actions
18000,-29614.87968788628,Results/car-train_18000_4000000_all_actions
2000,-29787.247521610516,Results/car-train_2000_4000000_all_actions
22000,-31532.686110172766,Results/car-train_22000_4000000_all_actions
28000,-32405.405095628434,Results/car-train_28000_4000000_all_actions
16000,-32879.55385786909,Results/car-train_16000_4000000_all_actions
11000,-34211.91160800202,Results/car-train_11000_4000000_all_actions
13000,-34338.675572269836,Results/car-train_13000_4000000_all_actions
6000,-34355.43589853976,Results/car-train_6000_4000000_all_actions
3000,-35772.689364118894,Results/car-train_3000_4000000_all_actions
9000,-36073.361550639966,Results/car-train_9000_4000000_all_actions
15000,-38755.22511048256,Results/car-train_15000_4000000_all_actions
5000,-40670.769523990544,Results/car-train_5000_4000000_all_actions
